split,target,rmse,mae,r2,alpha
train,purity,0.021890970901605713,0.004771670634645944,0.8144156840043967,1.0
train,recovery,0.03241760682456323,0.01768716908003527,0.986462852639314,1e-06
train,productivity_mol_kg_h,0.9739783594331789,0.4994074723479749,0.9978497853660707,0.1
train,energy_kWh_ton,2961.69161254245,353.2440114446305,0.5394427510200112,1.0
train,log_energy,0.06990914546291044,0.0459133685828008,0.9698229739760101,1.0
test,purity,0.016579511238836227,0.0055509280952145855,0.8001567439150971,1.0
test,recovery,0.05016213253373613,0.02328879220478314,0.9726822700496837,1e-06
test,productivity_mol_kg_h,5.495293006542799,1.337051349809974,0.9330167546969432,0.1
test,energy_kWh_ton,1621.555198989264,381.57945067918257,0.7749449864271096,1.0
test,log_energy,0.0816615995353337,0.05895467529309404,0.9635397275401876,1.0
